NULL,169161
-44,NULL
-1,317
0,1840904
1,14827
2,15667
3,16717
4,17901
5,16502
6,18416
7,17708
8,17267
9,16799
10,16803
11,17700
12,18789
13,17660
14,18658
15,17846
16,17647
17,15279
18,15013
19,15565
20,16515
21,17460
22,19416
23,19593
24,21909
25,24032
26,24539
27,26763
28,29971
29,31267
30,32384
31,34008
32,36551
33,36955
34,36782
35,41542
36,43649
37,44439
38,43890
39,47325
40,44569
41,44533
42,44880
43,48074
44,50142
45,53647
46,58752
47,65857
48,69960
49,67918
50,76196
51,77964
52,80956
53,82392
54,90011
55,87795
56,89964
57,93014
58,91159
59,92707
60,95724
61,95710
62,95807
63,94714
64,94702
65,95878
66,101732
67,103513
68,104980
69,108434
70,110979
71,124777
72,122580
73,109063
74,103332
75,102976
76,90370
77,79367
78,72183
79,72409
80,66641
81,59379
82,50838
83,44655
84,37886
85,32500
86,28290
87,24476
88,21565
89,16097
90,12031
91,9148
92,5932
93,4948
94,3621
95,2330
96,1547
97,1162
98,869
99,861
100,176
101,57
102,30
103,17
104,10
105,NULL
106,NULL
107,NULL
112,NULL
115,NULL
116,19
118,57
119,350
120,976
123,10
129,4668
130,13804
131,10338
137,NULL
154,8
173,8
202,NULL
217,12
218,NULL
246,NULL
307,8
576,16
