NULL,201819,88735,752859
NULL,201920,123559,1316480
-,201819,268,1127
-,201920,160,601
--,201819,34,100
--,201920,12,30
---,201819,10,42
---,201920,21,108
----,201819,26,94
----,201920,44,234
-----,201819,7,23
-----,201920,7,36
------,201819,NULL,8
------,201920,NULL,14
" chronic anal fissure",201920,8,18
" growth hormone deficiency",201920,NULL,NULL
" hand and wrist disability associated with stroke",201920,6,9
 1085511000001104,201819,7,25
 2960011000001106,201819,NULL,NULL
 33508911000001105,201819,NULL,7
 3972911000001105,201819,NULL,NULL
 9260111000001103,201819,NULL,6
"""""",201920,107,530
"""-""",201920,NULL,10
"""---""",201920,NULL,NULL
"""----""",201920,NULL,6
"""#N/A""",201920,10,10
"""(blank)""",201920,32,157
"""0""",201920,8,17
"""10052111000001104""",201920,NULL,10
"""10161811000001100""",201920,NULL,NULL
"""10226111000001106""",201920,NULL,NULL
"""10447211000001101""",201920,NULL,NULL
"""10897711000001108""",201920,NULL,NULL
"""10921711000001100""",201920,NULL,6
"""10967611000001107""",201920,7,8
"""1099511000001100""",201920,NULL,NULL
"""11033411000001109""",201920,NULL,NULL
"""11187811000001103""",201920,117,153
"""1155011000001109""",201920,NULL,15
"""11619211000001106""",201920,NULL,12
"""11619611000001108""",201920,93,214
"""11620011000001100""",201920,81,194
"""11649511000001103""",201920,14,19
"""11649711000001108""",201920,19,52
"""1169111000001103""",201920,NULL,NULL
"""11762011000001101""",201920,NULL,10
"""11812411000001109""",201920,NULL,10
"""11944811000001103""",201920,NULL,NULL
"""1272511000001107""",201920,15,108
"""1327411000001104""",201920,NULL,7
"""13610711000001103""",201920,NULL,NULL
"""14057611000001107""",201920,30,37
"""14791011000001101""",201920,NULL,6
"""15001711000001106""",201920,NULL,NULL
"""15048111000001106""",201920,10,19
"""15097511000001105""",201920,10,17
"""15097611000001109""",201920,10,17
"""15145611000001102""",201920,7,14
"""15362311000001103""",201920,NULL,NULL
"""15568111000001100""",201920,NULL,NULL
"""15614511000001109""",201920,25,61
"""15858511000001100""",201920,NULL,NULL
"""15980211000001100""",201920,37,51
"""16090711000001104""",201920,NULL,11
"""16101911000001101""",201920,NULL,9
"""16102011000001108""",201920,NULL,6
"""16102111000001109""",201920,NULL,9
"""16197611000001100""",201920,NULL,NULL
"""16592811000001105""",201920,10,10
"""16642611000001108""",201920,NULL,NULL
"""17281111000001103""",201920,NULL,9
"""17313111000001106""",201920,NULL,NULL
"""17315911000001105""",201920,NULL,6
"""17658211000001107""",201920,NULL,NULL
"""17976511000001106""",201920,NULL,NULL
"""17976811000001109""",201920,NULL,10
"""18035311000001107""",201920,NULL,NULL
"""18035711000001106""",201920,NULL,NULL
"""18044211000001101""",201920,16,33
"""18044411000001102""",201920,110,225
"""18044811000001100""",201920,27,54
"""18244811000001106""",201920,NULL,6
"""18291211000001101""",201920,NULL,NULL
"""18430811000001103""",201920,NULL,NULL
"""18671311000001102""",201920,8,15
"""18748011000001104""",201920,39,169
"""19448611000001101""",201920,NULL,10
"""19464711000001108""",201920,NULL,NULL
"""19466911000001102""",201920,NULL,6
"""19467111000001102""",201920,NULL,NULL
"""19467211000001108""",201920,16,21
"""19467311000001100""",201920,21,29
"""19467611000001105""",201920,32,41
"""19467711000001100""",201920,13,21
"""19475711000001102""",201920,NULL,NULL
"""19476111000001109""",201920,NULL,6
"""19482111000001102""",201920,NULL,NULL
"""19921311000001100""",201920,NULL,NULL
"""20023511000001104""",201920,NULL,8
"""20363411000001107""",201920,NULL,9
"""20363511000001106""",201920,NULL,NULL
"""20921011000001101""",201920,NULL,NULL
"""209911000001103""",201920,8,16
"""21195711000001100""",201920,NULL,NULL
"""21199211000001105""",201920,21,69
"""21674211000001100""",201920,14,15
"""21699511000001107""",201920,NULL,NULL
"""24054811000001101""",201920,NULL,6
"""24055011000001106""",201920,75,297
"""24510611000001104""",201920,NULL,NULL
"""24551411000001103""",201920,NULL,NULL
"""24565711000001104""",201920,NULL,NULL
"""24580911000001108""",201920,13,45
"""24670211000001102""",201920,12,16
"""24779111000001100""",201920,NULL,NULL
"""29212211000001109""",201920,13,14
"""29747011000001102""",201920,NULL,NULL
"""29889111000001100""",201920,NULL,7
"""29889211000001106""",201920,NULL,NULL
"""30840711000001101""",201920,NULL,NULL
"""30841411000001103""",201920,NULL,10
"""31060911000001101""",201920,NULL,7
"""31061111000001105""",201920,NULL,NULL
"""31061511000001101""",201920,NULL,6
"""3108511000001109""",201920,NULL,NULL
"""3108611000001108""",201920,NULL,NULL
"""31210311000001108""",201920,23,40
"""319211000001101""",201920,NULL,12
"""323266005""",201920,24,25
"""32467511000001104""",201920,NULL,NULL
"""324781006""",201920,NULL,6
"""324829002""",201920,NULL,NULL
"""324857009""",201920,NULL,13
"""32503011000001107""",201920,NULL,NULL
"""326714007""",201920,NULL,NULL
"""326715008""",201920,NULL,NULL
"""32704311000001108""",201920,NULL,NULL
"""327070006""",201920,39,117
"""327071005""",201920,17,65
"""327072003""",201920,NULL,NULL
"""327090002""",201920,NULL,NULL
"""327104000""",201920,92,270
"""327106003""",201920,133,439
"""327351009""",201920,NULL,6
"""327679008""",201920,NULL,NULL
"""32881611000001102""",201920,10,10
"""32887211000001109""",201920,NULL,NULL
"""32887611000001106""",201920,NULL,10
"""32888111000001102""",201920,9,28
"""329484004""",201920,NULL,NULL
"""33620011000001107""",201920,6,21
"""33689811000001102""",201920,NULL,NULL
"""33749811000001102""",201920,NULL,NULL
"""34000811000001103""",201920,6,8
"""34001211000001105""",201920,NULL,NULL
"""34023411000001104""",201920,NULL,NULL
