5110,115717,NULL
26,34,< 0
858,10399,> 130
79278,890976,0
5860,111989,1 to 10
21,85,100 to 110
7967,114014,11 to 20
438,1299,110 to 120
666,5509,120 to 130
14350,161245,21 to 30
23348,264944,31 to 40
29324,358353,41 to 50
40104,539880,51 to 60
44924,603398,61 to 70
47377,571482,71 to 80
23050,213123,81 to 90
3407,21751,91 to 100
