£0,201920,281546,3684800
£0,201819,236871,2639020
NULL,201920,15408,149608
Up to £100,201920,24470,106398
Up to £100,201819,26685,89320
NULL,201819,12003,51623
>£100,201920,12894,42967
>£100,201819,7565,18867
<£0,201819,326,564
<£0,201920,241,425
