201819,NULL,885
201819,1,214294
201819,2,233206
201819,3,223959
201819,4,236186
201819,5,240151
201819,6,220098
201819,7,248774
201819,8,241963
201819,9,226459
201819,10,253798
201819,11,223724
201819,12,235897
201920,1,348493
201920,2,348764
201920,3,320146
201920,4,364961
201920,5,325621
201920,6,337673
201920,7,341881
201920,8,320123
201920,9,309418
201920,10,341280
201920,11,326870
201920,12,298968
202021,NULL,1127
202021,1,15612
202021,2,122
202021,3,100
202021,4,91
202021,5,110
202021,6,92
202021,7,99
202021,8,103
202021,9,100
202021,10,2219
202021,11,2149
202021,12,1699
